idea_id,title,body,좋아요,싫어요
idea_001,로봇 바리스타 카페,무인 로봇 팔이 주문과 커피 제조를 담당해 24시간 운영하는 스마트 카페 아이디어.,39,0
idea_002,반려동물 1인 미용실,셀프 그루밍 부스와 전문가 예약 서비스를 결합한 동네 소형 반려동물 미용실.,16,15
idea_003,지역 커뮤니티 코워킹 스페이스,"주민 대상 저렴한 구독제를 제공하며, 소규모 창업·스터디 모임을 지원하는 공유 오피스.",21,31
idea_004,주말 농부 직거래 마켓,"동네 공터에서 열리는 팝업 직거래 장터, 지역 소농·주말 농부가 직접 채소·잼을 판매.",7,50
idea_005,VR 체험형 게임 센터,가상현실 헤드셋과 모션 트래킹 기기를 갖춘 체험형 e스포츠·파티룸.,41,15
idea_006,제로웨이스트 리필 스토어,샴푸·세제·곡물 등을 필요한 만큼 담는 용기 재사용형 무포장 상점.,13,48
idea_007,모바일 헬스 진료버스,"주 3회 구동되는 이동형 클리닉 버스, 혈압·혈당·간단 진료 서비스를 제공.",35,41
idea_008,옥상 도시농장 카페,빌딩 옥상에 텃밭과 카페를 결합해 직접 재배한 허브·채소로 메뉴를 제공.,32,13
idea_009,24시간 스터디 카페 + 카운슬링,무인 스터디 공간에 심리 상담 예약 부스를 결합한 학습 지원 카페.,40,0
idea_010,전기 자전거 공유 스테이션,"동네 골목 단거리 이동 특화, 충전·정비까지 자동화된 전기 자전거 공유 서비스.",18,20
idea_011,지역 식물 교환 도서관,"지역 식물 교환 도서관을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",6,20
idea_012,제로 웨이스트 식료품점,"제로 웨이스트 식료품점을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",39,22
idea_013,소형 스마트 농장 체험관,"소형 스마트 농장 체험관을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",48,36
idea_014,반려동물 전용 수영장,"반려동물 전용 수영장을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",7,45
